Output for plugin: windows.netstat
----------------------------------------
Volatility 3 Framework 2.7.1

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xa901cae704a0	TCPv4	10.0.2.15	49679	23.46.165.192	443	ESTABLISHED	1916	svchost.exe	2024-06-14 14:01:07.000000 
0xa901cae6f930	TCPv4	10.0.2.15	49676	23.46.165.128	443	ESTABLISHED	1916	svchost.exe	2024-06-14 14:01:06.000000 
0xa901cae6f4a0	TCPv4	10.0.2.15	49678	23.46.165.192	443	ESTABLISHED	1916	svchost.exe	2024-06-14 14:01:07.000000 
0xa901c9325390	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	876	svchost.exe	2024-06-14 14:00:54.000000 
0xa901c9325390	TCPv6	::	135	::	0	LISTENING	876	svchost.exe	2024-06-14 14:00:54.000000 
0xa901c9324470	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	876	svchost.exe	2024-06-14 14:00:54.000000 
0xa901c93257b0	TCPv4	10.0.2.15	139	0.0.0.0	0	LISTENING	4	System	2024-06-14 14:00:55.000000 
0xa901c98c7310	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2024-06-14 14:00:56.000000 
0xa901c98c7310	TCPv6	::	445	::	0	LISTENING	4	System	2024-06-14 14:00:56.000000 
0xa901c3a95310	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	1916	svchost.exe	2024-06-14 14:00:56.000000 
0xa901c3a95310	TCPv6	::	7680	::	0	LISTENING	1916	svchost.exe	2024-06-14 14:00:56.000000 
0xa901c9325d30	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	644	lsass.exe	2024-06-14 14:00:54.000000 
0xa901c9325d30	TCPv6	::	49664	::	0	LISTENING	644	lsass.exe	2024-06-14 14:00:54.000000 
0xa901c9325230	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	644	lsass.exe	2024-06-14 14:00:54.000000 
0xa901c9324310	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	496	wininit.exe	2024-06-14 14:00:54.000000 
0xa901c9324310	TCPv6	::	49665	::	0	LISTENING	496	wininit.exe	2024-06-14 14:00:54.000000 
0xa901c93250d0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	496	wininit.exe	2024-06-14 14:00:54.000000 
0xa901c9324730	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	420	svchost.exe	2024-06-14 14:00:55.000000 
0xa901c9324730	TCPv6	::	49666	::	0	LISTENING	420	svchost.exe	2024-06-14 14:00:55.000000 
0xa901c93245d0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	420	svchost.exe	2024-06-14 14:00:55.000000 
0xa901c9325bd0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	456	svchost.exe	2024-06-14 14:00:55.000000 
0xa901c9325bd0	TCPv6	::	49667	::	0	LISTENING	456	svchost.exe	2024-06-14 14:00:55.000000 
0xa901c9324e10	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	456	svchost.exe	2024-06-14 14:00:55.000000 
0xa901c9324050	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1892	spoolsv.exe	2024-06-14 14:00:56.000000 
0xa901c9324050	TCPv6	::	49668	::	0	LISTENING	1892	spoolsv.exe	2024-06-14 14:00:56.000000 
0xa901c3a95050	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1892	spoolsv.exe	2024-06-14 14:00:55.000000 
0xa901c93249f0	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	636	services.exe	2024-06-14 14:00:56.000000 
0xa901c93249f0	TCPv6	::	49669	::	0	LISTENING	636	services.exe	2024-06-14 14:00:56.000000 
0xa901c9324890	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	636	services.exe	2024-06-14 14:00:56.000000 
